raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect,raga_audio_path
Raga Basant_78,Raga Basanti Kanhra - Khayal Vilambit In Teentaal,"Mallikarjun Mansur, Balkrishna Iyer, Tulsidas Borkar",0:14:47.200000,https://p.scdn.co/mp3-preview/b2e64fcc8a923092dc53c06aba8d0225db86e2db?cid=883d8de3b4fb48e9ab32028467324d90,,"audio/Mallikarjun Mansur, Balkrishna Iyer, Tulsidas Borkar\Raga Basanti Kanhra - Khayal Vilambit In Teentaal_Mallikarjun Mansur, Balkrishna Iyer, Tulsidas Borkar.mp3"
Raga Basant_79,Raga Basant: Phagavaa Brija Dekhana Ko,Padma Talwalkar,0:09:38.240000,https://p.scdn.co/mp3-preview/e59fbf676512d27c3a906c78a3a25e1985e24b7c?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Padma Talwalkar\Raga Basant: Phagavaa Brija Dekhana Ko_Padma Talwalkar.mp3
Raga Basant_80,Raga Basant - Khyal In Teental - Piya Sang Khelo Hori (Live),Gangubai Hangal,0:10:01.533000,https://p.scdn.co/mp3-preview/2ee9169d63ce05f9524248ef7c4b32c13ce15133?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Gangubai Hangal\Raga Basant - Khyal In Teental - Piya Sang Khelo Hori (Live)_Gangubai Hangal.mp3
Raga Basant_81,Raga Basant - Piya Sang Khelu Hori,Sanjeev Chimmalgi,0:01:20.306000,https://p.scdn.co/mp3-preview/cba2f3b2fa6ea9bff261e79454663c3690dab8fd?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Sanjeev Chimmalgi\Raga Basant - Piya Sang Khelu Hori_Sanjeev Chimmalgi.mp3
Raga Basant_82,Raga Basant Mukhari Gat In Teen Tal,Mita Nag,0:16:40.573000,https://p.scdn.co/mp3-preview/9f005f4f2df8b8e4166428b9aa27a3bfc3a0d0a2?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Mita Nag\Raga Basant Mukhari Gat In Teen Tal_Mita Nag.mp3
Raga Basant_83,"Raga Basant: Aochar, Gat in Teen Taal",Partha Bose,0:13:25,https://p.scdn.co/mp3-preview/910288df5c5049c3149493bfd5112eaa3e595038?cid=883d8de3b4fb48e9ab32028467324d90,,"audio/Partha Bose\Raga Basant: Aochar, Gat in Teen Taal_Partha Bose.mp3"
Raga Basant_84,Raga Basant Mukhari (Bhayo Bhor),Manali Bose,0:08:22.666000,https://p.scdn.co/mp3-preview/3f996ff2dc1411c00e5ce5c6a3834acc267f7fd3?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Manali Bose\Raga Basant Mukhari (Bhayo Bhor)_Manali Bose.mp3
Raga Basant_85,Raga Basant Bahar - Khayal Vilambit In Teentaal And Drut In Teentaal,"Kishori Amonkar, Appa Jalgaonkar, Balkrishna Iyer",0:29:33.827000,https://p.scdn.co/mp3-preview/8ee5142ae4b45a2a6a6517a032ed58136922f2ac?cid=883d8de3b4fb48e9ab32028467324d90,,"audio/Kishori Amonkar, Appa Jalgaonkar, Balkrishna Iyer\Raga Basant Bahar - Khayal Vilambit In Teentaal And Drut In Teentaal_Kishori Amonkar, Appa Jalgaonkar, Balkrishna Iyer.mp3"
Raga Basant_86,Raga Basanti Kedar - Tala Drut Ektaal,C. R. Vyas,0:09:36.693000,https://p.scdn.co/mp3-preview/6b03a3c13b4ba3636aac127a553aa9dd578d3924?cid=883d8de3b4fb48e9ab32028467324d90,,audio/C. R. Vyas\Raga Basanti Kedar - Tala Drut Ektaal_C. R. Vyas.mp3
Raga Basant_87,Raga Basant Mukhari: Gat in Jhap Taal,Partha Bose,0:16:07,https://p.scdn.co/mp3-preview/35198ec435cd838462d3bb26734854faf0e4566c?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Partha Bose\Raga Basant Mukhari: Gat in Jhap Taal_Partha Bose.mp3
Raga Basant_88,Raga Basant Bahar (Naveli Kali),Manali Bose,0:05:44,https://p.scdn.co/mp3-preview/01796f7d15d1a8f9b49ab93f58549b36ea42464c?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Manali Bose\Raga Basant Bahar (Naveli Kali)_Manali Bose.mp3
Raga Basant_89,Jhaptaal (Raga Basant Mukhari),Satwinder Pal Singh,0:32:36.164000,https://p.scdn.co/mp3-preview/7cac4fefe4f87d9597cb15366ac44f5cc55944a3?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Satwinder Pal Singh\Jhaptaal (Raga Basant Mukhari)_Satwinder Pal Singh.mp3
Raga Basant_90,Raga Basant - Alap - Madhyalaya In Teentaal And Drut In Ektaal,"Shivkumar Sharma, Shafaat Ahmed Khan",0:29:04.973000,https://p.scdn.co/mp3-preview/4d354d80060e2b4022e3134f370c9109b496e83f?cid=883d8de3b4fb48e9ab32028467324d90,,"audio/Shivkumar Sharma, Shafaat Ahmed Khan\Raga Basant - Alap - Madhyalaya In Teentaal And Drut In Ektaal_Shivkumar Sharma, Shafaat Ahmed Khan.mp3"
